Executando em modo automático:
  Instância: 2
  Algoritmo: NSGA-III
  Tipo: Solomon

Tipo selecionado: Instâncias Solomon

=== MENU DE SELEÇÃO DE INSTÂNCIA ===

Instância selecionada: C102.txt
Number of vehicles: 25
Vehicle capacity: 200
Number of clients: 101

=== NSGA-III para Problema de Roteamento de Veiculos ===

Configuracao do Problema:
- Clientes: 100, Veiculos: 25, Capacidade: 200
- Objetivos: Distancia, Tempo, Combustivel
- Constraints: Capacidade, Time Windows, Cobertura

DEBUG: Seed JMetal: 54715623293812
2026-05-22 09:16:23.592 INFO: Loggers configured with null [org.uma.jmetal.util.JMetalLogger configureLoggers]
2026-05-22 09:16:23.620 INFO: rpssize: 595 [org.uma.jmetal.algorithm.multiobjective.nsgaiii.NSGAIII <init>]
Configuracao do NSGA-III:
- Pop solicitada: 600
- Geracoes: 3000
- Crossover: OnePoint por coluna (Pc=1.0)
- Mutacao: Swap intra+inter rota (Pm=0.01)
- Selecao: Binary Tournament

Iniciando execucao...

DEBUG: Primeira solucao criada - Dist: 1484,81, Tempo: 5636,33, Comb: 760,28
DEBUG: 100 solucoes criadas na inicializacao
DEBUG: 200 solucoes criadas na inicializacao
DEBUG: 300 solucoes criadas na inicializacao
DEBUG: 400 solucoes criadas na inicializacao
DEBUG: 500 solucoes criadas na inicializacao
[Eval 605000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 610000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 615000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 620000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 625000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 630000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 635000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 640000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 645000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 650000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 655000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 660000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 665000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 670000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 675000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 680000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 685000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 690000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 695000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 700000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 705000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 710000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 715000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 720000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 725000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 730000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 735000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 740000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 745000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 750000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 755000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 760000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 765000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 770000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 775000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 780000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 785000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 790000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
